,accuracy,k,n_classes_,n_features_,n_informative_,n_samples_,scale_,sim_id,strategy
0,0.96,45,2,63,5,994,1.6834095572764771,11.0,ds_knora_eliminate
0,0.95,50,2,63,5,994,1.6834095572764771,11.0,ds_knora_eliminate
0,0.95,60,2,63,5,994,1.6834095572764771,11.0,ds_knora_eliminate
0,0.95,70,2,63,5,994,1.6834095572764771,11.0,ds_knora_eliminate
0,0.95,80,2,63,5,994,1.6834095572764771,11.0,ds_knora_eliminate
0,0.95,90,2,63,5,994,1.6834095572764771,11.0,ds_knora_eliminate
0,0.95,100,2,63,5,994,1.6834095572764771,11.0,ds_knora_eliminate
0,0.95,200,2,63,5,994,1.6834095572764771,11.0,ds_knora_eliminate
0,0.95,300,2,63,5,994,1.6834095572764771,11.0,ds_knora_eliminate
0,0.9615,3,3,23,22,771,0.5073771416468233,12.0,ds_knora_eliminate
0,0.9615,5,3,23,22,771,0.5073771416468233,12.0,ds_knora_eliminate
0,0.9744,10,3,23,22,771,0.5073771416468233,12.0,ds_knora_eliminate
0,0.9744,15,3,23,22,771,0.5073771416468233,12.0,ds_knora_eliminate
0,0.9744,20,3,23,22,771,0.5073771416468233,12.0,ds_knora_eliminate
0,0.9744,25,3,23,22,771,0.5073771416468233,12.0,ds_knora_eliminate
0,0.9744,30,3,23,22,771,0.5073771416468233,12.0,ds_knora_eliminate
0,0.9744,35,3,23,22,771,0.5073771416468233,12.0,ds_knora_eliminate
0,0.9744,40,3,23,22,771,0.5073771416468233,12.0,ds_knora_eliminate
0,0.9744,45,3,23,22,771,0.5073771416468233,12.0,ds_knora_eliminate
0,0.9744,50,3,23,22,771,0.5073771416468233,12.0,ds_knora_eliminate
0,0.9744,60,3,23,22,771,0.5073771416468233,12.0,ds_knora_eliminate
0,0.9744,70,3,23,22,771,0.5073771416468233,12.0,ds_knora_eliminate
0,0.9744,80,3,23,22,771,0.5073771416468233,12.0,ds_knora_eliminate
0,0.9744,90,3,23,22,771,0.5073771416468233,12.0,ds_knora_eliminate
0,0.9744,100,3,23,22,771,0.5073771416468233,12.0,ds_knora_eliminate
0,0.9744,200,3,23,22,771,0.5073771416468233,12.0,ds_knora_eliminate
0,0.9744,300,3,23,22,771,0.5073771416468233,12.0,ds_knora_eliminate
0,0.4196,3,10,95,13,1425,1.9942427787835568,13.0,ds_knora_eliminate
0,0.4545,5,10,95,13,1425,1.9942427787835568,13.0,ds_knora_eliminate
0,0.4685,10,10,95,13,1425,1.9942427787835568,13.0,ds_knora_eliminate
0,0.4685,15,10,95,13,1425,1.9942427787835568,13.0,ds_knora_eliminate
0,0.4685,20,10,95,13,1425,1.9942427787835568,13.0,ds_knora_eliminate
0,0.4755,25,10,95,13,1425,1.9942427787835568,13.0,ds_knora_eliminate
0,0.4755,30,10,95,13,1425,1.9942427787835568,13.0,ds_knora_eliminate
0,0.4825,35,10,95,13,1425,1.9942427787835568,13.0,ds_knora_eliminate
0,0.4825,40,10,95,13,1425,1.9942427787835568,13.0,ds_knora_eliminate
0,0.4825,45,10,95,13,1425,1.9942427787835568,13.0,ds_knora_eliminate
0,0.4825,50,10,95,13,1425,1.9942427787835568,13.0,ds_knora_eliminate
0,0.4825,60,10,95,13,1425,1.9942427787835568,13.0,ds_knora_eliminate
0,0.4825,70,10,95,13,1425,1.9942427787835568,13.0,ds_knora_eliminate
0,0.4825,80,10,95,13,1425,1.9942427787835568,13.0,ds_knora_eliminate
0,0.4825,90,10,95,13,1425,1.9942427787835568,13.0,ds_knora_eliminate
0,0.4825,100,10,95,13,1425,1.9942427787835568,13.0,ds_knora_eliminate
0,0.4825,200,10,95,13,1425,1.9942427787835568,13.0,ds_knora_eliminate
0,0.4825,300,10,95,13,1425,1.9942427787835568,13.0,ds_knora_eliminate
0,0.8112,3,6,20,11,1951,1.3243037279894192,16.0,ds_knora_eliminate
0,0.8469,5,6,20,11,1951,1.3243037279894192,16.0,ds_knora_eliminate
0,0.8724,10,6,20,11,1951,1.3243037279894192,16.0,ds_knora_eliminate
0,0.8929,15,6,20,11,1951,1.3243037279894192,16.0,ds_knora_eliminate
0,0.898,20,6,20,11,1951,1.3243037279894192,16.0,ds_knora_eliminate
0,0.898,25,6,20,11,1951,1.3243037279894192,16.0,ds_knora_eliminate
0,0.898,30,6,20,11,1951,1.3243037279894192,16.0,ds_knora_eliminate
0,0.898,35,6,20,11,1951,1.3243037279894192,16.0,ds_knora_eliminate
0,0.898,40,6,20,11,1951,1.3243037279894192,16.0,ds_knora_eliminate
0,0.898,45,6,20,11,1951,1.3243037279894192,16.0,ds_knora_eliminate
0,0.898,50,6,20,11,1951,1.3243037279894192,16.0,ds_knora_eliminate
0,0.898,60,6,20,11,1951,1.3243037279894192,16.0,ds_knora_eliminate
0,0.898,70,6,20,11,1951,1.3243037279894192,16.0,ds_knora_eliminate
0,0.898,80,6,20,11,1951,1.3243037279894192,16.0,ds_knora_eliminate
0,0.898,90,6,20,11,1951,1.3243037279894192,16.0,ds_knora_eliminate
0,0.898,100,6,20,11,1951,1.3243037279894192,16.0,ds_knora_eliminate
0,0.898,200,6,20,11,1951,1.3243037279894192,16.0,ds_knora_eliminate
0,0.898,300,6,20,11,1951,1.3243037279894192,16.0,ds_knora_eliminate
0,0.8846,3,3,16,4,514,0.5254077820084286,17.0,ds_knora_eliminate
0,0.8846,5,3,16,4,514,0.5254077820084286,17.0,ds_knora_eliminate
0,0.8846,10,3,16,4,514,0.5254077820084286,17.0,ds_knora_eliminate
0,0.9038,15,3,16,4,514,0.5254077820084286,17.0,ds_knora_eliminate
0,0.9038,20,3,16,4,514,0.5254077820084286,17.0,ds_knora_eliminate
0,0.9038,25,3,16,4,514,0.5254077820084286,17.0,ds_knora_eliminate
