,accuracy,k,n_classes_,n_features_,n_informative_,n_samples_,scale_,sim_id,strategy
0,0.8851,35,5,22,10,869,2.4369860904533374,33.0,ds_la_ola
0,0.8851,40,5,22,10,869,2.4369860904533374,33.0,ds_la_ola
0,0.8851,45,5,22,10,869,2.4369860904533374,33.0,ds_la_ola
0,0.8851,50,5,22,10,869,2.4369860904533374,33.0,ds_la_ola
0,0.8851,60,5,22,10,869,2.4369860904533374,33.0,ds_la_ola
0,0.8851,70,5,22,10,869,2.4369860904533374,33.0,ds_la_ola
0,0.8851,80,5,22,10,869,2.4369860904533374,33.0,ds_la_ola
0,0.8851,90,5,22,10,869,2.4369860904533374,33.0,ds_la_ola
0,0.8851,100,5,22,10,869,2.4369860904533374,33.0,ds_la_ola
0,0.8851,200,5,22,10,869,2.4369860904533374,33.0,ds_la_ola
0,0.8851,300,5,22,10,869,2.4369860904533374,33.0,ds_la_ola
0,0.3051,3,11,48,28,589,2.128721556008676,34.0,ds_la_ola
0,0.3898,5,11,48,28,589,2.128721556008676,34.0,ds_la_ola
0,0.4407,10,11,48,28,589,2.128721556008676,34.0,ds_la_ola
0,0.4746,15,11,48,28,589,2.128721556008676,34.0,ds_la_ola
0,0.5254,20,11,48,28,589,2.128721556008676,34.0,ds_la_ola
0,0.5254,25,11,48,28,589,2.128721556008676,34.0,ds_la_ola
0,0.5254,30,11,48,28,589,2.128721556008676,34.0,ds_la_ola
0,0.5254,35,11,48,28,589,2.128721556008676,34.0,ds_la_ola
0,0.5254,40,11,48,28,589,2.128721556008676,34.0,ds_la_ola
0,0.5254,45,11,48,28,589,2.128721556008676,34.0,ds_la_ola
0,0.5254,50,11,48,28,589,2.128721556008676,34.0,ds_la_ola
0,0.5254,60,11,48,28,589,2.128721556008676,34.0,ds_la_ola
0,0.5254,70,11,48,28,589,2.128721556008676,34.0,ds_la_ola
0,0.5254,80,11,48,28,589,2.128721556008676,34.0,ds_la_ola
0,0.5254,90,11,48,28,589,2.128721556008676,34.0,ds_la_ola
0,0.5254,100,11,48,28,589,2.128721556008676,34.0,ds_la_ola
0,0.5254,200,11,48,28,589,2.128721556008676,34.0,ds_la_ola
0,0.5254,300,11,48,28,589,2.128721556008676,34.0,ds_la_ola
0,0.9859,3,2,4,2,709,2.1044330992324736,35.0,ds_la_ola
0,0.9859,5,2,4,2,709,2.1044330992324736,35.0,ds_la_ola
0,0.9859,10,2,4,2,709,2.1044330992324736,35.0,ds_la_ola
0,0.9859,15,2,4,2,709,2.1044330992324736,35.0,ds_la_ola
0,0.9859,20,2,4,2,709,2.1044330992324736,35.0,ds_la_ola
0,0.9859,25,2,4,2,709,2.1044330992324736,35.0,ds_la_ola
0,0.9859,30,2,4,2,709,2.1044330992324736,35.0,ds_la_ola
0,0.9859,35,2,4,2,709,2.1044330992324736,35.0,ds_la_ola
0,0.9859,40,2,4,2,709,2.1044330992324736,35.0,ds_la_ola
0,0.9859,45,2,4,2,709,2.1044330992324736,35.0,ds_la_ola
0,0.9859,50,2,4,2,709,2.1044330992324736,35.0,ds_la_ola
0,0.9859,60,2,4,2,709,2.1044330992324736,35.0,ds_la_ola
0,0.9859,70,2,4,2,709,2.1044330992324736,35.0,ds_la_ola
0,0.9859,80,2,4,2,709,2.1044330992324736,35.0,ds_la_ola
0,0.9859,90,2,4,2,709,2.1044330992324736,35.0,ds_la_ola
0,0.9859,100,2,4,2,709,2.1044330992324736,35.0,ds_la_ola
0,0.9859,200,2,4,2,709,2.1044330992324736,35.0,ds_la_ola
0,0.9859,300,2,4,2,709,2.1044330992324736,35.0,ds_la_ola
0,0.9384,3,2,17,3,1454,1.0685669580360273,36.0,ds_la_ola
0,0.9384,5,2,17,3,1454,1.0685669580360273,36.0,ds_la_ola
0,0.9384,10,2,17,3,1454,1.0685669580360273,36.0,ds_la_ola
0,0.9384,15,2,17,3,1454,1.0685669580360273,36.0,ds_la_ola
0,0.9452,20,2,17,3,1454,1.0685669580360273,36.0,ds_la_ola
0,0.9521,25,2,17,3,1454,1.0685669580360273,36.0,ds_la_ola
0,0.9521,30,2,17,3,1454,1.0685669580360273,36.0,ds_la_ola
0,0.9521,35,2,17,3,1454,1.0685669580360273,36.0,ds_la_ola
0,0.9521,40,2,17,3,1454,1.0685669580360273,36.0,ds_la_ola
0,0.9521,45,2,17,3,1454,1.0685669580360273,36.0,ds_la_ola
0,0.9521,50,2,17,3,1454,1.0685669580360273,36.0,ds_la_ola
0,0.9589,60,2,17,3,1454,1.0685669580360273,36.0,ds_la_ola
0,0.9589,70,2,17,3,1454,1.0685669580360273,36.0,ds_la_ola
0,0.9589,80,2,17,3,1454,1.0685669580360273,36.0,ds_la_ola
0,0.9589,90,2,17,3,1454,1.0685669580360273,36.0,ds_la_ola
0,0.9589,100,2,17,3,1454,1.0685669580360273,36.0,ds_la_ola
0,0.9726,200,2,17,3,1454,1.0685669580360273,36.0,ds_la_ola
0,0.9658,300,2,17,3,1454,1.0685669580360273,36.0,ds_la_ola
0,0.9091,3,2,9,6,1100,2.4478643156069904,37.0,ds_la_ola
0,0.9091,5,2,9,6,1100,2.4478643156069904,37.0,ds_la_ola
0,0.9091,10,2,9,6,1100,2.4478643156069904,37.0,ds_la_ola
0,0.9273,15,2,9,6,1100,2.4478643156069904,37.0,ds_la_ola
0,0.9273,20,2,9,6,1100,2.4478643156069904,37.0,ds_la_ola
0,0.9273,25,2,9,6,1100,2.4478643156069904,37.0,ds_la_ola
0,0.9364,30,2,9,6,1100,2.4478643156069904,37.0,ds_la_ola
0,0.9364,35,2,9,6,1100,2.4478643156069904,37.0,ds_la_ola
0,0.9364,40,2,9,6,1100,2.4478643156069904,37.0,ds_la_ola
0,0.9455,45,2,9,6,1100,2.4478643156069904,37.0,ds_la_ola
0,0.9455,50,2,9,6,1100,2.4478643156069904,37.0,ds_la_ola
0,0.9455,60,2,9,6,1100,2.4478643156069904,37.0,ds_la_ola
0,0.9455,70,2,9,6,1100,2.4478643156069904,37.0,ds_la_ola
0,0.9455,80,2,9,6,1100,2.4478643156069904,37.0,ds_la_ola
0,0.9455,90,2,9,6,1100,2.4478643156069904,37.0,ds_la_ola
0,0.9455,100,2,9,6,1100,2.4478643156069904,37.0,ds_la_ola
0,0.9182,200,2,9,6,1100,2.4478643156069904,37.0,ds_la_ola
0,0.9,300,2,9,6,1100,2.4478643156069904,37.0,ds_la_ola
0,0.7461,3,5,13,6,1927,1.9730820756996046,38.0,ds_la_ola
0,0.7461,5,5,13,6,1927,1.9730820756996046,38.0,ds_la_ola
0,0.7876,10,5,13,6,1927,1.9730820756996046,38.0,ds_la_ola
0,0.7979,15,5,13,6,1927,1.9730820756996046,38.0,ds_la_ola
0,0.7876,20,5,13,6,1927,1.9730820756996046,38.0,ds_la_ola
0,0.8031,25,5,13,6,1927,1.9730820756996046,38.0,ds_la_ola
0,0.8187,30,5,13,6,1927,1.9730820756996046,38.0,ds_la_ola
0,0.8187,35,5,13,6,1927,1.9730820756996046,38.0,ds_la_ola
0,0.8083,40,5,13,6,1927,1.9730820756996046,38.0,ds_la_ola
0,0.8135,45,5,13,6,1927,1.9730820756996046,38.0,ds_la_ola
0,0.8135,50,5,13,6,1927,1.9730820756996046,38.0,ds_la_ola
0,0.8083,60,5,13,6,1927,1.9730820756996046,38.0,ds_la_ola
0,0.8031,70,5,13,6,1927,1.9730820756996046,38.0,ds_la_ola
0,0.8031,80,5,13,6,1927,1.9730820756996046,38.0,ds_la_ola
0,0.8031,90,5,13,6,1927,1.9730820756996046,38.0,ds_la_ola
0,0.8031,100,5,13,6,1927,1.9730820756996046,38.0,ds_la_ola
0,0.7979,200,5,13,6,1927,1.9730820756996046,38.0,ds_la_ola
0,0.7979,300,5,13,6,1927,1.9730820756996046,38.0,ds_la_ola
0,0.9286,3,2,11,7,1820,2.2578902037780524,40.0,ds_la_ola
0,0.9286,5,2,11,7,1820,2.2578902037780524,40.0,ds_la_ola
0,0.9341,10,2,11,7,1820,2.2578902037780524,40.0,ds_la_ola
0,0.9341,15,2,11,7,1820,2.2578902037780524,40.0,ds_la_ola
0,0.9341,20,2,11,7,1820,2.2578902037780524,40.0,ds_la_ola
0,0.9396,25,2,11,7,1820,2.2578902037780524,40.0,ds_la_ola
0,0.9451,30,2,11,7,1820,2.2578902037780524,40.0,ds_la_ola
0,0.9505,35,2,11,7,1820,2.2578902037780524,40.0,ds_la_ola
0,0.9505,40,2,11,7,1820,2.2578902037780524,40.0,ds_la_ola
0,0.9505,45,2,11,7,1820,2.2578902037780524,40.0,ds_la_ola
0,0.9396,50,2,11,7,1820,2.2578902037780524,40.0,ds_la_ola
0,0.9396,60,2,11,7,1820,2.2578902037780524,40.0,ds_la_ola
0,0.9505,70,2,11,7,1820,2.2578902037780524,40.0,ds_la_ola
0,0.956,80,2,11,7,1820,2.2578902037780524,40.0,ds_la_ola
0,0.967,90,2,11,7,1820,2.2578902037780524,40.0,ds_la_ola
0,0.9615,100,2,11,7,1820,2.2578902037780524,40.0,ds_la_ola
0,0.9615,200,2,11,7,1820,2.2578902037780524,40.0,ds_la_ola
0,0.9615,300,2,11,7,1820,2.2578902037780524,40.0,ds_la_ola
0,0.9595,3,2,8,4,737,1.8413178142380215,41.0,ds_la_ola
0,0.9595,5,2,8,4,737,1.8413178142380215,41.0,ds_la_ola
0,0.9595,10,2,8,4,737,1.8413178142380215,41.0,ds_la_ola
0,0.9595,15,2,8,4,737,1.8413178142380215,41.0,ds_la_ola
0,0.9595,20,2,8,4,737,1.8413178142380215,41.0,ds_la_ola
0,0.973,25,2,8,4,737,1.8413178142380215,41.0,ds_la_ola
0,0.973,30,2,8,4,737,1.8413178142380215,41.0,ds_la_ola
0,0.973,35,2,8,4,737,1.8413178142380215,41.0,ds_la_ola
0,0.973,40,2,8,4,737,1.8413178142380215,41.0,ds_la_ola
0,0.973,45,2,8,4,737,1.8413178142380215,41.0,ds_la_ola
0,0.973,50,2,8,4,737,1.8413178142380215,41.0,ds_la_ola
0,0.973,60,2,8,4,737,1.8413178142380215,41.0,ds_la_ola
